id;registration_number;date_paid;subscription_period;amount
1;proud evenly;2025-01-17;odd;as anti jumbo
2;apropos milky regularly;2025-01-16;outside athwart feminize;pro
3;beneath approximate;2025-01-17;minus;pro soulful
4;yahoo until;2025-01-17;whether;which
5;inside afore;2025-01-17;dreamily;eek daddy
6;during er when;2025-01-17;whoa;chap outgoing
7;even;2025-01-17;noted slowly fantastic;ha
8;authentic;2025-01-17;season wry via;heavily excited
9;editor;2025-01-16;terribly;custody chip short
10;along;2025-01-17;times carelessly;round
