id;qualification_name;name_of_institute;date_from;date_to;awarded_by;awarded_date
1;ick;worst descent;2025-01-17;2025-01-17;diversity quizzically impanel;2025-01-16
2;sign internal;gratefully solution;2025-01-17;2025-01-17;however phooey;2025-01-17
3;tune because;lobotomise;2025-01-17;2025-01-17;with onto boldly;2025-01-17
4;purple qua;regarding gratefully homely;2025-01-17;2025-01-17;and utterly why;2025-01-17
5;desecrate;custody impractical;2025-01-16;2025-01-17;apt even midst;2025-01-17
6;phooey;somber;2025-01-17;2025-01-17;barring how mysteriously;2025-01-17
7;concerning;functional anenst definitive;2025-01-17;2025-01-17;than rationalize;2025-01-17
8;fundraising;minty beneath;2025-01-17;2025-01-17;gadzooks hmph caption;2025-01-17
9;solace aw;gestate useless;2025-01-16;2025-01-17;taxicab;2025-01-17
10;blond unsightly;rationalize zowie;2025-01-17;2025-01-17;oof rationalize fragrant;2025-01-17
